Question,Source,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,Answer1_Score,Answer2_Score,Answer3_Score,Answer4_Score,Answer5_Score,Answer6_Score,Answer7_Score,Answer8_Score,Extra_Column_Don't_Delete
What do you want right this minute?,Family Feud,food/dessert,money,sleep,booze,sex,,,,21,17,16,14,9,,,,0
Name something you hang onto for dear life.,Family Feud,money/wallet,spouse/love,life jacket/raft,rope,ring/jewelry,photos,amusement ride seat,,23,11,9,6,6,4,4,,0
Name an S word that describes your very first romantic kiss.,Family Feud,sloppy,sweet,sexy/sexual,sensual,soft,slow,,,26,22,6,5,4,4,,,0
(women) Some days I'd rather have a good _______________ than a good man.,Family Feud,meal/food/candy,sleep/nap,book,drink,friend,massage,dog/pet,,20,18,10,10,9,8,7,,0
NO ONE ever had to teach a baby how to do what?,Family Feud,cry/scream,dump/spray pee,eat/suckle,crawl,smile/laugh,breathe,,,53,19,10,6,4,2,,,0
(women) Name something you're good at throwing.,Family Feud,ball,fits/tantrums,insults/words,kisses,dishes,trash,,,28,25,7,7,6,4,,,0
(men) Name a bad habit that you hope some woman will find endearing.,Family Feud,gas-blasting,snoring,drinking,watching tv/sports,sleeping late,smoking cigs,Walk'g around nude,,18,18,15,9,7,5,3,,0
Name a traffic sign you'd like to hold up at a Thanksgiving dinner w/ your relatives.,Family Feud,stop,yield,caution,slow,exit/exit only,quiet zone,do not enter,cattle crossing,55,18,5,5,4,3,2,2,0
Who has sent the most messages in the 2023 DSPP GroupMe?,GroupMe,Xavier,Abby P,Colette,Josh,Julie,Rahul,Alia,Phil,29,13,12,11,10,9,8,8,0
Name a popular programming language used in data science.,GPT,Python,R,SQL,C/C++,Scala,Java,,,46,29,12,4,3,3,,,0
Name a 3-letter US government agency.,GPT,FBI,CIA,EPA,FAA,NSA,FCC,DEA,,40,29,11,9,4,2,2,,0
What is a common data visualization tool used by data scientists?,GPT,Tableau,Matplotlib/Seaborn,ggplot,Power-BI,D3,,,,35,20,19,5,3,,,,0
Name a popular place to eat/drink near Georgetown's campus,GPT,Tombs,Wisemiller's,Call your Mother,Falafel Inc.,Saxby's,,,,29,25,12,9,4,,,,0
Name something you might find in a teenager's bedroom.,GPT,Dirty Laundry/Clothes,Cell Phone,Posters,Headphones/Music Player,Video Games,Homework,,,28,20,18,9,6,4,,,0
What's a talent people claim to have but often exaggerate?,GPT,Cooking,Singing,Dancing,Language Skills/Fluent,Musical Instrument,Art,Sense of Humor,,29,20,18,14,6,5,3,,0
Name something people do when they're stuck in traffic.,GPT,Honk Horn/Road Rage,Use their phone,Listen to music,People watch,Apply makeup,,,,39,20,14,12,5,,,,0
Name something you might see at a party that lets you know it's a very fancy party.,GPT,Champagne,Butler,Live music,Fancy dress/black tie,caviar,ice sculpture,red carpet,,24,20,10,9,6,3,2,,0
"Other than Earth, name a planet in the solar system.",GPT,Mars,Jupiter,Saturn,Venus,Neptune,Uranus,,,34,23,19,9,4,3,,,0
Name a fruit that you couldn't eat all by yourself.,GPT,Watermelon,Pineapple,Cataloupe/Melon,Grapefruit,Jackfruit,,,,41,14,7,6,3,,,,0
