Question,Source,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,Answer1_Score,Answer2_Score,Answer3_Score,Answer4_Score,Answer5_Score,Answer6_Score,Answer7_Score,Answer8_Score,Extra_Column_Don't_Delete
Name something you hang onto for dear life.,Family Feud,money/wallet,spouse/love,life jacket/raft,rope,ring/jewelry,photos,amusement ride seat,,23,11,9,6,6,4,4,,0
Name an S word that describes your very first romantic kiss.,Family Feud,sloppy,sweet,sexy/sexual,sensual,soft,slow,,,26,22,6,5,4,4,,,0
(women) Some days I'd rather have a good _______________ than a good man.,Family Feud,meal/food/candy,sleep/nap,book,drink,friend,massage,dog/pet,,20,18,10,10,9,8,7,,0
NO ONE ever had to teach a baby how to do what?,Family Feud,cry/scream,dump/spray pee,eat/suckle,crawl,smile/laugh,breathe,,,53,19,10,6,4,2,,,0
(women) Name something you're good at throwing.,Family Feud,ball,fits/tantrums,insults/words,kisses,dishes,trash,,,28,25,7,7,6,4,,,0
(men) Name a bad habit that you hope some woman will find endearing.,Family Feud,gas-blasting,snoring,drinking,watching tv/sports,sleeping late,smoking cigs,Walk'g around nude,,18,18,15,9,7,5,3,,0
Name a traffic sign you'd like to hold up at a Thanksgiving dinner w/ your relatives.,Family Feud,stop,yield,caution,slow,exit/exit only,quiet zone,do not enter,cattle crossing,55,18,5,5,4,3,2,2,0
Who has sent the most messages in the 2023 DSPP GroupMe?,GroupMe,Xavier,Abby P,Colette,Josh,Julie,Rahul,Alia,Phil,29,13,12,11,10,9,8,8,0
Name a popular programming language used in data science.,GPT,Python,R,SQL,C/C++,Scala,Java,,,46,29,12,4,3,3,,,0
Name a 3-letter US government agency.,GPT,FBI,CIA,EPA,FAA,NSA,FCC,DEA,,40,29,11,9,4,2,2,,0
What is a common data visualization tool used by data scientists?,GPT,Tableau,Matplotlib/Seaborn,ggplot,Power-BI,D3,,,,35,20,19,5,3,,,,0
Name a popular place to eat/drink near Georgetown's campus,GPT,Tombs,Wisemiller's,Call your Mother,Falafel Inc.,Saxby's,,,,29,25,12,9,4,,,,0
Name something you might find in a teenager's bedroom.,GPT,Dirty Laundry/Clothes,Cell Phone,Posters,Headphones/Music Player,Video Games,Homework,,,28,20,18,9,6,4,,,0
What's a talent people claim to have but often exaggerate?,GPT,Cooking,Singing,Dancing,Language Skills/Fluent,Musical Instrument,Art,Sense of Humor,,29,20,18,14,6,5,3,,0
Name something people do when they're stuck in traffic.,GPT,Honk Horn/Road Rage,Use their phone,Listen to music,People watch,Apply makeup,,,,39,20,14,12,5,,,,0
Name something you might see at a party that lets you know it's a very fancy party.,GPT,Champagne,Butler,Live music,Fancy dress/black tie,caviar,ice sculpture,red carpet,,24,20,10,9,6,3,2,,0
"Other than Earth, name a planet in the solar system.",GPT,Mars,Jupiter,Saturn,Venus,Neptune,Uranus,,,34,23,19,9,4,3,,,0
Name a fruit that you couldn't eat all by yourself.,GPT,Watermelon,Pineapple,Cataloupe/Melon,Grapefruit,Jackfruit,,,,41,14,7,6,3,,,,0
Name something you spread on bread,Family Feud,Butter,Peanut Butter,Jam/Jelly,Mayo,,,,,67,16,10,4,,,,,0
Name an animal that comes in different colors,Family Feud,Dog,Cat,Bird/peacock,Charmeleon,,,,,34,22,21,7,,,,,0
Name something you'd do if you saw a coworker sleeping on the job,Family Feud,Wake/Scare ‘em,Ignore/Let be,Laugh,Join ‘em,Tell boss,take pic/vid,draw on ‘em,,61,8,8,7,7,5,4,,0
At some point in your life name something you've been KICKED OUT of,Family Feud,Bar/club,school/class,job/work,(my boo's) home,cafe/Waffle house,Concert/choir,movie theatre,,53,19,5,4,3,3,2,,0
If there were a baby Olympics tell me what one of the events might be,Family Feud,(100 meter) crawl,poo/diaper fill-up,crying/screaming,bottle toss,best nurser,Spit-up,toddling,rolling over,57,8,7,7,5,3,2,2,0
Besides a car tell me a place you might be wearing a seatbelt.,Family Feud,Plane,,,,,,,,61,,,,,,,,0
Name something a little kid might try to flush down the toilet,Family Feud,Toy/teddy bear,food/broccoli,clothes/diapers,pet/goldfish,paper/report card,,,,57,9,8,7,3,,,,0
Name a place that people say they've seen a ghost,Family Feud,Home/castle,cemetary,hospital/asylum,hotel,,,,,51,30,8,4,,,,,0
Adult kids are SICK of their parents asking “When are you going to…” what? ,Family Feud,get hitched,pop some spawn,clean/your room,move the hell out,grow up,,,,20,18,17,14,11,,,,0
Name a creature you'd be shocked that SeaWorld tried to flush down the toilet when it died,Family Feud,whale/orca,fish/shark/eel,dolphin,seal/sea lion,octopus,gator/croc,,,33,23,18,9,5,4,,,0
Name the worst thing to run out of when you're camping in the wilderness,Family Feud,toilet paper,food/water,matches/fire/wood,,bug spray,,,,44,37,8,5,,,,,0
Name an unusual place where some couples hold their wedding ceremony,Family Feud,underwater,beach,vegas/drive thru,skydiving,cemetary,park,,,25,13,9,9,5,4,,,0
(married guys)If your wife ever decided to kill you how do you think she'd do it?,Family Feud,poison,gun,talk to death,stab him,her cooking,,,,59,23,8,6,2,,,,0
Name something a person might break out in,Family Feud,hives/a rash,zits,sweat,song,,,,,64,10,9,8,,,,,0
Name a sport that you think most men would say's their favorite to watch,Family Feud,football,baseball,basketball,wresting/female,,,,,85,6,3,2,,,,,0
Name something a magician hopes doesn't die in the middle of his act,Family Feud,Rabbit,assistant,dove,himself,volunteer,his act/jokes,magic wand,,65,14,8,4,2,2,2,,0
Name something you'd be surprised to hear that Kim Kardashian got rid of,Family Feud,that badonk,$$,Kanye,her mansion,her double-Ds,her job/fame,her insta/twitter,makeup,32,21,15,7,5,2,2,2,0
Name something a cavewoman got half of in the 1st-ever divorce,Family Feud,cave,fur/pelts,rocks,firepit/wood,club,food/meat,wheel,,40,13,13,11,10,8,4,,0
That earthquake was so strong it shook grandpa's what right off?,Family Feud,Dentures/3 teeth,specs,hat/clothes,toupee,hearing aid,,,,34,23,18,17,5,,,,0
Name something that lives in your home whether you want it to or not,Family Feud,bugs/roaches,mice/rats,cat/pet,my family/in-laws,dust bunnies/dirt,mold/mildew,,,52,16,10,10,5,3,,,0
Name something a father might show his daughter's date just to scare him.,Family Feud,(shot)Gun,,,,,,,,82,,,,,,,,0
Name something that comes in a pack,Family Feud,Cigarettes,Beer,Gum,Wolves,,,,,31,28,17,7,,,,,0
Name something a person might be running from,Family Feud,the law/feds,bear/animal,their past/ex,debt/bills,criminal,commitment/marraige,monster/zombie,truth/inner self,52,15,9,7,5,4,3,2,0
Name a fruit you're glad your head isn't shaped like,Family Feud,banana,pear,melon,lemon,pineapple,strawberry,,,41,20,18,3,3,3,,,0
Tell me why you're blindfolded,Family Feud,game/pin the tail,for a surprise,s&M,kidnapped,sleep/block light,firing squad,,,41,21,15,10,5,4,,,0
I'm walking on what?,Family Feud,sunshine,air,eggshells,water,,,,,42,17,10,8,,,,,0
Name something frogs might dream about,Family Feud,flies/bugs,lily pads/ponds,kiss/become prince,other frog/toad,hopping,makin' tadpoles,flying,,52,21,10,5,4,2,2,,0
Name a place you never want to hear someone say “You're next”,Family Feud,Doc/dentist,funeral home,death row/prison,hell,slaughterhouse,military/draft board,police station,,32,27,24,6,2,2,2,,0
If a man has to brag about being what he probably isn't?,Family Feud,rich successful,smart,crackerjack in the sack,sexy/cute,string/tough,brave,wonderful,,40,22,14,9,3,3,3,,0
Name something that's hairy & stinky,Family Feud,skunk,people,dog,monkey/ape,bigfoot,ferret,clogged drain,,33,30,23,4,2,2,2,,0
Name something you do to your nose ,Family Feud,blow,pick,scratch/rub,wipe,pierce,scrunch,,,52,26,9,5,2,2,,,0
Name a place grandma tells grandpa to go ,Family Feud,to bed,straight to hell,store,outside/on porch,bathroom,Doctor,church,long walk...short pier,29,21,18,6,4,4,3,2,0
Name something Beyonce has you wish you had,Family Feud,billions,voice/singing career,Hottie McBody,fly clothes,great hair/wigs,homes,Jay-Z,kids,51,26,9,4,2,2,2,2,0
Loaded what? ,Family Feud,gun/weapon,potato,question,Car,dice,,,,71,14,7,2,2,,,,0
Name something you'd HATE to have happen in an elevator ,Family Feud,stuck/power outage,fart fumes arise,drop/cable snaps,the trots/gotta go,fire/explosion,labor/give birth,shooting/murder,,58,21,5,5,4,3,2,,0
