GameID,PostID,FamilyAID,FamilyBID,GameTitle,FastMoneyID,QS_FastMoney_Q1,QS_FastMoney_Q2,QS_FastMoney_Q3,QS_FastMoney_Q4,QS_FastMoney_Q5,QS_FastMoney_Answers
11,296,13,9,"G1: Wilsons (Secily, Denita, Tami, Jamie & Tonya) v. Farwells",57,: Name the one thing you do that requires the most discipline.,: Who was the last person you LIED to?,: A type of liquor that's really strong.,: A candy that's bite-sized.,: How much would you be willing to pay to lose 10 lbs. instantly?,"Jamie: School (10), boss (5), courvoiser (3), m&ms (34) & $1K (11)
Secily: Exercise (20), mom (8), vodka (22), Jolly Ranchers & $50 (7)
Unsaid #1s: Diet, spouse/mate & $100"
12,296,14,12,"G2: Mallorys (Lauren, Gloria, Zanele, Brenda & Gino) v. Morrisons",62,: What percentage of American men think they're good lovers?,: Something little kids do in the snow.,: Something a guy would make himself for dinner.,: A card game that's easy to CHEAT on.,: A kind of music that can DESTROY a romantic evening.,"Melissa: 50% (5), snowmen (27), sandwich (22), solitaire (12) & techno
Matthew: 80% (12), snowball fights (27), TV dinner (10), poker (32) & heavy metal (15)
Unsaid #1s: 100% & rap || "
13,300,15,16,"G1: Darlings (Tricia, Dirk, Carol, Dave & Dino- the last champs of the O'Hurley era w/ $19,745) v. Thomases (Cheryl, Anissa, Mellody, Tim & Steve)",67,: Give me a two-word phrase beginning w/ â€œnationalâ€.,": On the scale, how good was your last vacation?",: Give another word for â€œpeopleâ€.,: Name the hippest city in the world.,: Something people eat by the handful.,"Dino: Monument, 8 (27), group (2), NY (42) & potato chips (9)
Dave: Spelling Bee, 7 (16), folks (22), L.A. (10) & pretzels
Unsaid #1s: Anthem, humans & candy"
14,300,17,12,"G2: Caccias (Anthony, Krissi, Robbi, Jenna & Nick) v. Morrisons",72,: Name a talk show where at least one of the guests always ends up crying.,: Something people do while listening to music.,: How many pages of a book do you read in one sitting?,: Something people eat starting w/ â€œshortâ€.,: Something that has a siren.,"Matthew: â€œBarbara Waltersâ€, sex (10), 50 (22), cake (35) & police car (24)
Melissa: â€œOprahâ€ (31), sing, 20 (13), bread (31) & fire truck (43)
Unsaid #1: Clean/chores || "
15,301,15,18,"G1: Darlings v. Wilborns (Cynthia, Debra, Delender, Tabatha & Torie)",77,": According to the men, how many times in your life have you had a good cry?",: Something people do w/ feathers.,: Something babies do that's NOT so cute.,: Something every bank robber needs.,: Something that flies.,"Tricia: Five (19), tickle things (19), poop (20), guns (36) & birds (41)
Dino: Seven, make headdresses, cry (26), $ (5) & planes (32)
Unsaid #1s: Two, pillows & spit up/vomit"
16,301,19,12,"G2: Christians (Eunice, Allina, Juliana, Josiah & Albert) v. Morrisons",82,: A creature that you're NEVER sure if it's male or female.,": Besides people, something you CAN'T live w/o.",: King ______,: A way people prepare potatoes.,: A specific thing that auto shops sell a lot of.,"Matthew: Snake (22), food (23), baked (26) & spark plug (5)
Melissa: Bear, pet/animal (9), Tut (18), mashed (29) & filter (11)
Unsaid #1s: Fish, Kong & oil || "
17,304,15,20,"CG1: Darlings v. Kerkhoffs (Stacey, Yiayia, Mike, Kyle & Hal)",87,: In what grade does a child's homework become too difficult for the parents?,: Something served along w/ a sandwich.,: Something you might wear a pair of.,: A part of their bodies that men get waxed.,: Something specific that strays.,"Tricia: 3rd (6), chips (31), gloves, back (42) & dog (33)
Dino: 7th (13), Coke (10), pants (14), chest (27) & cat (47)
Unsaid #1s: 9th & fries"
18,304,21,12,"CG2: Lavoies (Paul, Tom, Mark, Christine & Julie) v. Morrisons",92,: Tell me the name people use to describe a man who dates a lot of women.,: How many hrs. a day do you spend online?,: Give another word for â€œtalkâ€.,": The last time you got really angry, who were you angry at?",: A cable channel you can learn a lot from.,"Melissa: Player (21), four (19), speak (30), spouse (35) & C-SPAN
Matthew: Two (9), gab (6), boss (13) & TLC (19)
Unsaid #1s: Three & Discovery || "
19,354,22,23,"G1: Jordans (Chris, Marisa, Chrystal, Tosha & Rosetta) v. Stewarts (Shea, Terry, Shawne, Shannon & Tyler)",97,: Name one word to describe your mattress that could also describe someone's body.,: An animal that has a long tail.,: A sport that requires great stamina.,: How long does a box of cookies last in your home?,: Something that could get a five-star rating.,"Terry: Soft (28), tiger (7), football (20), one day (8) & movie (18)
Shawne: Hard (12), monkey (24), running (28), wk. (35) & h/motel (40)
Unsaid #1: Firm"
20,354,24,25,"G2: Garcias (Dolores, Mitchell, Rosalind, Danika & Shekira) v. Karnatzs",103,: What's the LAST material you want your underwear to be made out of?,: Name a fear you've overcome.,: Someone who can make your life MISERABLE.,: Name the age when men's physique starts to go.,: Something on a children's menu in almost every restaurant.,"Rosalind: Wool (23), dark (11), in-laws (11), 40 (32) & spaghetti (5)
Danika: Brillo (7), flying (4), boss (21), 30 (7) & fries (13)
Unsaid #1s: Heights & chicken || "
21,355,26,23,"G1: Bakers (Mike, Michael #1, Michael #2, Steven & Matt) v. Stewarts",108,: What would you HATE to have break down just before you host a big party?,: A cartoon character w/ big ears.,: A part of the body people should take better care of.,: Name the most enjoyable awards show on TV.,: Something that has bitten you.,"Terry: Car (7), Mickey Mouse (21), heart (16) & Grammys (14)
Shawne: A/C (4), â€œDUMBOâ€ (16), minds (3), Academy Awards (35) & mosquitos (43)
Unsaid #1s: Fridge, Bugs Bunny & feet"
22,355,24,27,"G2: Garcias v. Dohertys (Donna, Shawn, Nick, Pat & Michael)",113,: Every woman wants to marry a man who loves what?,: A part of the chicken that few people eat.,: Which sport do you think has the most intelligent athletes?,: How many nights a wk. do you get the perfect night's rest?,: Something a judge needs.,"Dolores: Her (28), head (5), golf (25), five (15) & gavel (52)
Danika: Her mom, gizzard (14), two (30) & robe (20)
Unsaid #1: Neck || "
23,360,28,23,"G1: Glinseys (Stephanie, Sherie, Cindy, Tiffany & Gwen) v. Stewarts",118,": Acc. to women, name an article of clothing that would be INSULTING to receive from a man.",: Where's the WORST place to be during a BLACKOUT?,: An animal that swims.,": On the scale, how much do you believe in horoscopes?",: Something a person's clothes might smell like.,"Sherie: Girdle (30), hospital, fish (16), 5 (22) & food
Stephanie: Thong (13), elevator (24), dog (20), 6 (5) & cigarette smoke (44)
Unsaid #1: 1"
24,360,24,29,"G2: Garcias v. Sinnotts (Michael, Kelley, Patrick, Kristin & Carol)",123,": Besides your home, name a place you might take off your clothes.",: How many nights a wk. do you stay home & watch TV?,: Something people do in a hurry & later REGRET.,: A word rhyming w/ â€œboozeâ€.,: Tell me your favorite day for sleeping in.,"Kristin: Locker rm. (9), four (8), get dressed (2), cruise (15) & Sun. (48)
Michael: Beach (12), two (5), relationships (6), twos & Sat. (35)
Unsaid #1s: Dr.'s office, seven, marry & snooze || "
25,361,28,30,"G1: Glinseys v. Suits (Valerie, Chuck, Pat, Tina & Chase)",128,: A place where you always seem to get stuck sitting next to a crying baby.,: Name the age you'll always be to your parents.,: Something you wish your body only needs once a wk.,: Something that rhymes w/ â€œbling-blingâ€.,: Someone whose jokes you'd better laugh at.,"Tiffany: Plane (22), 16 (22), cleaning (18), cling-cling & father
Stephanie: Church (5), 12 (6), water (4), sting-sting & Steve Harvey
Unsaid #1s: Bus, food, ring-ring & boss"
26,361,31,29,"G2: Ashleys (Nandi, Gilroy, Kaya, Grant & Tracy) v. Sinnotts",133,": Besides Christmas, name a holiday kids decorate their classrooms for.",": On the scale, how safe do you feel in your neighborhood?",: Name someone who knows how to press your buttons.,: A body part that gets sore after a long day's work.,: Something big stars have that's also big.,"Kristin: Halloween (29), 4, spouse/mate (42), back (33) & $ (20)
Michael: Valentine's Day (16), 7 (15), sister, arms (7) & cars
Unsaid #1s: Thanksgiving, 8 & homes || "
27,362,28,25,"G1: Glinseys v. Karnatzs (Sandi, Cheryl, Suzanne, Kim & Kari)",138,: Something a woman WOULDN'T want to do right after she gets her nails done.,: At what age did you feel & look your best?,: An animal your mate sounds like when they snore.,": If you only had $2, where would you go for lunch?",: A word rhyming w/ â€œdizzyâ€.,"Kim: Drive (2), 21 (7), bear (21), fast food (31) & fizzy (17)
Suzanne: Play piano, 25 (21), lion (10) & Lizzie (27)
Unsaid #1s: Wash dishes, pig/hog & busy"
28,362,32,29,"G2: Langleys (Darryl, Kim, Carl Sr., Carl Jr. & Inetra) v. Sinnotts",143,: Name a part of a man's body you'd be SHOCKED to find hair plugs.,: How old's old for a dog?,: Something often pictured on Christmas cards.,: Something a soldier has to keep neat & clean.,: A sport that really gets fans into a frenzy.,"Kim: Chest (35), 10 (21), trees (20), barracks (28) & hockey (7)
Carl Jr.: Back (15), seven (6), snow (15), boots (48) & football (49)
Unsaid #1s: 15 & Santa || "
29,374,13,33,"G1: Wilsons v. Russells (Shamus, Caitlin, Carrie, Jenna & Marlys)",148,": Acc. to the men, name a part of your body that's bigger than it was when you were 16.",: Para_____,: A kind of knife.,: Something you see on a football field during a game.,: A food that often gets judged at a state fair.,"Tonya: Chest (4), -educator, paring (4), ball (15) & pumpkins
Secily: Penis, legal (7), steak (14), goalies & pies (39)
Unsaid #1s: Stomach, graph, butter & players"
30,374,32,34,"G2: Langleys v. Cabreras (Jorge, Wanda, Yaly, Lissette & Janet)",153,: Something specific a woman might have trouble getting a man to accompany her to.,: A month that seems to fly by.,: How many guests are invited to a big wedding?,: A part of the body a person might twist.,": Name someone who knows your deepest, darkest secrets.","Wanda: Shopping (24), Jul. (17), 100 (24), ankle (33) & mom (7)
Lissette: Ballet (16), Dec. (27), 200 (20), waist (10) & best friend (19)
Unsaid #1: Spouse/mate || "
31,381,13,35,"G1: Wilsons v. Whitterns (Randy, Holly, Katie, Dustin & Donna)",158,: An animal that likes to stick its tongue out.,: Something that tastes great w/ bananas.,": On the scale, how big is your boss' ego?",: A musical instrument you hold between your legs.,: Something people w/ higher incomes do more of.,"Dustin: Snake (24), I.C. (21), 10 (34), cello (38) & travel/vacations (43)
Randy: Dog (10), P.B. (21), 9 (2), saxophone & buy cars (32)
Unsaid #1: Cereal"
32,381,36,34,"G2: Hills (British, Shelby, Michael, Freddy & Curtis) v. Cabreras",163,: Something people accidentally leave on airplanes.,: A chore kids are expected to do everyday.,: Something you'd see at a construction site.,: Something adults take into a bathtub w/ 'em.,": On the scale, how good of a mother was your mom?","Wanda: Wallets (13), garbage (14), workers/hard hats (26), sponge (14) & 9 (17)
Lissette: Glasses (3), make the bed (29), bulldozers (15), soap/shampoo (30) & 10 (43) 
Unsaid #1: (Carry-on) luggage || "
33,382,37,35,"G1: Ojis (Zook, Tiara, Darion, Okaey & Ann) v. Whitterns",168,: Something people cram into the car for a trip to the beach.,: An animal w/ very skinny legs.,: A food served w/ melted butter on it.,: Something found in the bathroom.,: Name the age when a person falls in love for the first time.,"Dustin: Balls (3), flamingo (5), pancakes (10), T.P. (10) & 16 (36) 
Randy: Towels (16), giraffe (26), bread (12), toilets (32) & 14 (10)
Unsaid #1s: Chairs & potato"
34,382,38,34,"G2: Hartleys (Alex, Joshua, Jarrod, Maxwell & Jeff) v. Cabreras",173,": Acc. to men, if you shot a basketball 10 times from the free throw line, how many times would it go in?",: A food people often order as an appetizer.,: A country known for its breathtaking scenery.,: A part of your body you shake most often.,: A place people find loose change.,"Wanda: Six (3), breadsticks (2), Paris, bottom (15) & car (10)
Lissette: Seven (23), cheesesticks (13), London, waist & couches (48)
Unsaid #1s: Shrimp cocktail, U.S. & hands || "
35,383,39,35,"G1: Rioses (Eddie, Papo, Ralph, Iggy III & Tito) v. Whitterns",178,": Acc. to the men, name the perfect height for a woman.",: Something you like that's hot & fresh.,: Name the first place a wife looks when she CAN'T find her husband.,: A state that ends w/ A.,: Something you hope DOESN'T start leaking.,"Dustin: 5'4â€³ (18), biscuits (5), AR & car (17)
Randy: 5'6â€³ (21), doughnuts (4), work (13), OK (2) & faucets/plumbing (39) 
Unsaid #1s: Bread/toast, bar & AL"
36,383,40,34,"G2: Andersons (Sharee, Adam, Alisha, Yumeka & Vickita) v. Cabreras",183,": Acc. to married people on the scale, how intelligent is your spouse?",: Cross_____,: A breed of dog you'd need a big yard for.,: A kind of flower a cheapskate gives his wife for Valentine's Day.,: Something that goes up.,"Wanda: 7 (15), guard, pitbull (5), carnation (32) & plane (15)
Lissette: 8 (24), word (26), Mastiff, orchid & balloons (39)
Unsaid #1: German Shepherd || "
37,384,41,35,"G1: Kahns (Marie, Jeanne, Elaine, Scott & Richard) v. Whitterns",189,: A food that someone on a diet dreams about at night.,: Approx. how many times a day do you get kissed?,: Trans______,: Something people take private lessons in.,: Something you do if you get locked out of your car.,"Randy: I.C. (27), 10 (6), mission (8), piano/music (30) & call locksmith (8)
Dustin: Cookies (2), four (7), sexual (5), karate (3) & open yourself (7)
Unsaid #1s: ZERO, portation & call AAA/tow truck"
38,384,40,34,CG: Rematch of the prev. day's G2,194,: Name something on the car that might break that WOULDN'T keep you from driving it.,": On the scale, how much do you brag about your kids?",: A food that has a strong smell.,: Something in America that increases every yr.,: Something people wear for support.,"Wanda: Windshield (7), 10 (23), garlic (19), inflation & bras (42)
Lissette: Seatbelts, 8 (20), onion (33), taxes (31) & pantyhose (17)
Unsaid #1: Lights || "
39,274,42,35,"CG: Thomases (Coleman, Daphne, Georginna, Cherlyn & Filmore) v. Whitterns",199,: Something you hope DOESN'T STOP suddenly when you're riding on it.,": Something of yours that if you lost it, you'd be lost.",: Give me a girl's name starting w/ L.,: Name another word for â€œannoyâ€.,: How many hrs. of football do men watch on Thanksgiving Day?,"Katie: Car (4), spouse (4), Lisa (14), bug (3) & 24 (3)
Holly: Heart, phone (21), Lauren (6), bother (32) & 20
Â Unsaid #1s: Plane, Linda & six"
40,274,43,3,G2: Marshalls v. Poes,204,": According to married men on the scale, how much does your wife talk?",: Name the most uneventful month of the yr.,: A musical instrument that's difficult to play.,: Name the age when a man's physique is best.,: Tell me something people have removed from their skin.,"Toby: 7 (10), Aug. (15), oboe (4), 35 (5) & tumors (5)
Micah: 8 (21), Sept. (10), guitar (9), 30 (16) & moles (40) 
Unsaid #1s Mentioned: 10, Mar. & 25 || "
41,244,45,46,"G1: Allens (Andrea, Skip, David, Yvonne & Steven) v. Dickersons (Todd, April, Nick, Jonathan & Briyanna)",209,: Something teens do that starts w/ D.,: The most difficult age for a woman.,: Which state has the highest life expectancy for men?,: Something in nature a poet might write about.,": Besides shoes, something you buy in a shoe store.","Skip: Date (12), 15 (2), CA (11), birds (8) & boots
Andrea: Drive (13), 30 (12), FL (27), leaves & socks (35)
Unsaid #1s: Dance or drink (tied), 40, trees"
42,244,47,48,"G2: Fosters (Erin, Betsy, Mary, Andy & Dennis) v. Halyards (Ledger, Tamara, Xavier, Sabrina & Tyrah)",214,": On the scale, how much do you care what other people think?",: A product made for babies that's used by adults.,: Something you do only once in your lifetime.,: Something you expect to find in a doghouse.,: A type of club.,"Erin: 9, Johnson + Johnson, marry (21), bones (33) & dance (43)
Andy: 2 (11), butt paste, die (29), dog (22) & 9-iron/golf (8)
Unsaid #1s: 5 & powder || "
43,245,45,49,"G1: Allens v. McFaddens (David, Kristine, Ashley, Andrew & Shante)",219,: Something you can recognize by its smell when it's cooking.,": On the scale, how perfect are you?",: Something people have to sit still for.,": Besides President, a political office people run for.",: Something you might buy in a stationary store.,"Skip: Bacon (8), 10 (4), movie (15), Congress (5) & paper (43)
Andrea: Pizza, 5 (24), church (8), Senate (19) & envelopes (10)
Unsaid #1s: Chicken, photographs & governor"
44,245,47,50,"G2: Fosters v. Palmers (Wun, Violet, Rod, Zandra & Sherell)",224,: Something in the bathroom that a husband & wife might share.,: Something people keep in the glove compartment.,: Something used in the Winter that starts w/ S.,: Tell me how old you want to live to be.,: A kind of tape.,"Zandra: Sink (6), registration (21), socks, 100 (30) & video (11)
Rod: Deodorant, flashlight (19), sweaters (12), 80 (11) & masking (13)
Unsaid #1s: Toothpaste, maps, shovels & Scotch || "
45,265,45,51,"G1: Allens v. Carrigans (Kimberly, Carly, Meghan, Bill & Shannon)",230,: Something people SHOULDN'T forget to bring on their honeymoon.,: Name an occupation in which there are NOT many laughs.,: Something in your home that's big.,: A creature you might see if you crawled under your home.,: What's the highest weight possible on your bathroom scale?,"Carly: Lingerie (15), police, TVs (29), spiders (16) & 220 (2)
Bill: Spouse/mate (14), manager, couch (9), snake (30) & 300 (37)
Unsaid #1s: $ & physician/surgeon"
46,265,52,50,"G2: Woottons (Kris, Jenica, Nikki, Matt & Katie) v. Palmers",236,: Something you'd hate to find was left while while you were on vacation.,: How much a yr. should a housewife be paid?,: Something in a hospital.,: Something that might bite you if you were lying in the grass.,: A face card in a deck of cards.,"Nikki: Water (4), $100K (9), doctors (20), ant (33) & king (55)
Kris: Lights (16), $35K (5), x-ray machine (7), snake (19) & queen (37)
Unsaid #1s: Stove/oven, $30K & beds || "
47,275,53,51,"G1: Saulsberrys (Brian, Darrius, Ladonna, Duane & Bob) v. Carrigans",241,: Name something you remember getting PUNISHED for doing in school.,": On the scale, how strong's family life in America?",: Something you see in church.,: Something you rub.,: Something in your home that seems to be on all the time.,"Brian: Talking (26), 6 (14), cross (28), hands together & TVs (45)
Bob: Throwing erasers, 5 (24), people (2), back (11) & answering machine
Unsaid #1: Legs/knees"
48,275,52,54,"G2: Woottons v. Kitchens (Renee, Rob, Laurette, Sean & Alyssa)",246,: An occasion on which you'd HATE to be alone.,: A flavor of hard candy.,: A word rhyming w/ â€œhickeyâ€.,: How old were you when you first played Spin the Bottle?,: Name one thing that's imported from Italy.,"Nikki: Valentine's Day (11), cherry (12), Nikki, 13 (18) & pasta (3)
Kris: Christmas (19), strawberry (12), Dickey (17), 12 (33) & Rome
Unsaid #1s: Birthday, peppermint, Mickey/ie & wine || "
49,276,53,55,"G1: Saulsberrys v. DeVitos (Janine, Leigh, Michele, Christine & Vicki)",251,: How much does a cheap relative spend on a birthday present?,: A reason you need a lawyer.,: Something found in a 3rd grade classroom.,: A word rhyming w/ â€œCokeâ€.,: Something people donate to the Red Cross.,"Brian: $5 (34), car accident (10), books (13), soak (5) & clothes (29)
Duane: $20 (8), speeding, ruler, boat & $ (39)
Unsaid #1s: Divorce, chalkboard & poke"
50,276,52,56,"G2: Woottons v. McGinnises (Jim, Amy, Andrea, Linda & Matt)",257,: What percentage of employees who call in sick are NOT really sick?,: A chore that SLOPPY housekeepers NEGLECT.,: A kind of roller.,: An appliance you should keep your fingers out of.,: A bird you'd see near water.,"Amy: 65%, bathroom/toilet (22), hair (20), toaster (34) & pelican (7)
Andrea: 70% (3), vacuuming (10), lint, iron (4) & flamingo (3)
Unsaid #1s: 50%, paint & duck || "
51,277,53,57,"M-U: Saulsberrys v. Martoranas (Cherie, Al, Olivia, Danielle & Emil)",262,: A boy's pet that sometimes escapes & gets lost in the home.,: How much $ does a person give in church each wk.?,: Something you do w/ your thumb.,: A food that's HARD to keep on your fork.,: Something a married couple might want to have two of.,"Brian: Hamster (35), $50 (3), wiggle (12), spaghetti (38) & kids (37)
Ladonna: Lizard (3), $20 (14), peas (29) & cars (40)
Unsaid #1s: $10 & suck || "
52,278,53,57,Rematch of previous match,268,: Name the age when you started worrying about your weight.,: Something children buy for the first day of school.,: A large vegetable.,: What comes to mind when you hear â€œCaliforniaâ€?,: Something a woman breaks & repairs w/ glue.,"Al: 16 (7), pencils (22), carrot (2), beaches (9) & heels (9)
Cherie: 18 (5), lunchboxes (2), pumpkin (19), HOLLYWOOD (10) & pictures (2)
Unsaid #1s: 30, backpacks, squash/zucchini, sunshine/warm weather & fingernails || "
53,279,58,57,"M-U: Catos (Rachel, Cheryl, Deidre, Deborah & Kerry) v. Martoranas",273,: An animal that might literally bite the hand that feeds it.,: Name the earliest age at which you remember yourself.,: Tell me a word rhyming w/ â€œdunkâ€.,: A specific beverage people mix w/ alcohol.,: Something you see right outside a supermarket.,"Cheryl: Dog (25), 5 (25), monk, rum & carts (41)
Kerry: Snake (8), 8 (3), bunk, coconut & cars (10)
Unsaid #1s: Sunk & Coke || "
54,280,58,59,"M-U: Catos v. Coatses (Carrie, Peter, Jenny, Rob & Sheila)",279,": If babies got tattoos, what would they have tattoos of?",: Name a month where you find the best deals on airline flights.,: Something you've done for your country.,: A kind of station.,: How tall is too tall for a woman?,"Deborah: Bottles (18), Jul. (6), donated $, SONY PlayStation & 5'8â€³
Cheryl: Rattle (7), Sept. (9), vote (27), service (22) & 6â€³ (35)
Unsaid #1s: Mom, Feb. & radio || "
55,281,58,60,"M-U: Catos v. Crisonas (Cher, Laurie, N.J., Melissa & Chris)",284,: Something you hope DOESN'T STOP working while you're using it.,": On the scale, how proud are you of your body?",: A sign that you see at a construction site.,: A reason a woman might make fun of a guy's hair.,: Something you might climb.,"Chris: Car (23), 10 (3), Caution (20), thinning/bald (32) & mountains (37)
N.J.: Heart, 8 (15), Men Working (13), toupee (2) & ladders (22)
Unsaid #1s: 7 & Wear a Hard Hat || "
56,284,61,60,"G1: Gaspards (Johnny, Tracie, Alicia, Martina & Michael) v. Crisonas",289,": On the scale, how happy are you w/ the house you live in?",: Something women do to their hair.,: A desert animal.,: An irresistible food you should resist.,: Something people hope they DON'T get trapped in.,"Chris: 9 (13), spray (4), kangaroo, cake (23) & closed rm. (2)
N.J.: 7 (14), mousse, fox (2), cookies & trunk (8)
Unsaid #1s: 8, color, camel, I.C. & elevator"
57,284,62,56,"G2: Booths (McKae, Jared, Marni, Johnna & Sue) v. McGinnises",294,: Someone you've learned to tune out when they're mad at you.,: How long does it take the avg. man to put on a tie?,: Something people do on the floor.,: Something you have to put away after a party.,: Something that washes up on the beach.,"Johnna: Parents (14), two min. (13), sleep (8), cups (5) & seaweed (13)
McKae: Children (11), 10 min. (6), lay, dishes (22) & seashells (39)
Unsaid #1s: Spouse/mate, five min., yoga/exercise & food/leftovers || "
58,297,63,60,"G1: Rzepkas (Mickie, Holly, Ryan, David & Valerie) v. Crisonas",299,: How many months does a couple wait before telling friends they're expecting?,: A place where you see nervous people.,: A letter of the alphabet that's also a vitamin.,: Something people wait to buy until it goes on sale.,": Besides eggs, something people put in an omelet.","Chris: Five, B (18), car (25) & ham (21)
Cher: Three (38), hospital (22), E (26), home & cheese (47)
Unsaid #1s: Court, C & clothes/shoes"
59,297,62,64,"G2: Booths v. Loves (Darren, Karen, Derrick, Keyondra & Lisa)",304,": According to married men, what's the longest you've gone w/o kissing your spouse?",: Something that has keys.,: A state that has lots of blizzards.,: Something doctors carry w/ 'em on their rounds.,: Something people skip.,"Johnna: Day (26), car (19), NY (8), stethoscope (32) & class (16)
McKae: Wk. (19), CHI, pad & rope (16)
Unsaid #1s: Piano, CO & meals || "
60,298,47,60,G1: Fosters v. Crisonas,309,": Acc. to single men on the scale, how much do you want a woman who's smart?",: Something you might eat while drinking a beer.,: Something you shut one eye to do.,: A kind of cup.,: A state where they love country music.,"Chris: 5 (6), pretzels (30), wink/flirt (31), paper (10) & AL (7)
Cher: 10 (35), burger, take eye test (13), coffee (33) & TX (39)
Unsaid #1s: 8 & TN"
