P1A1,P1A2,P1A3,P1A4,P1A5,P1A6,P2A1,P2A2,P2A3,P2A4,P2A5,P2A6
 Bacon (8), 10 (4), movie (15), Congress (5) ," paper (43)",, Pizza, 5 (24), church (8), Senate (19) , envelopes (10),
 Sink (6), registration (21), socks, 100 (30) ," video (11)",, Deodorant, flashlight (19), sweaters (12), 80 (11) , masking (13),
 Lingerie (15), police, TVs (29), spiders (16) ," 220 (2)",, Spouse/mate (14), manager, couch (9), snake (30) , 300 (37),
 Water (4), $100K (9), doctors (20), ant (33) ," king (55)",, Lights (16), $35K (5), x-ray machine (7), snake (19) , queen (37),
 Talking (26), 6 (14), cross (28), hands together ," TVs (45)",, Throwing erasers, 5 (24), people (2), back (11) , answering machine,
 Valentine's Day (11), cherry (12), Nikki, 13 (18) ," pasta (3)",, Christmas (19), strawberry (12), Dickey (17), 12 (33) , Rome,
 $5 (34), car accident (10), books (13), soak (5) ," clothes (29)",, $20 (8), speeding, ruler, boat , $ (39),
 65%, bathroom/toilet (22), hair (20), toaster (34) ," pelican (7)",, 70% (3), vacuuming (10), lint, iron (4) , flamingo (3),
 Hamster (35), $50 (3), wiggle (12), spaghetti (38) ," kids (37)",, Lizard (3), $20 (14), peas (29) , cars (40),,
 16 (7), pencils (22), carrot (2), beaches (9) ," heels (9)",, 18 (5), lunchboxes (2), pumpkin (19), HOLLYWOOD (10) , pictures (2),
 Dog (25), 5 (25), monk, rum ," carts (41)",, Snake (8), 8 (3), bunk, coconut , cars (10),
 Bottles (18), Jul. (6), donated $, SONY PlayStation ," 5'8″",, Rattle (7), Sept. (9), vote (27), service (22) , 6″ (35),
 Car (23), 10 (3), Caution (20), thinning/bald (32) ," mountains (37)",, Heart, 8 (15), Men Working (13), toupee (2) , ladders (22),
 9 (13), spray (4), kangaroo, cake (23) ," closed rm. (2)",, 7 (14), mousse, fox (2), cookies , trunk (8),
 Parents (14), two min. (13), sleep (8), cups (5) ," seaweed (13)",, Children (11), 10 min. (6), lay, dishes (22) , seashells (39),
 Five, B (18), car (25) ," ham (21)",,, Three (38), hospital (22), E (26), home , cheese (47),
 Day (26), car (19), NY (8), stethoscope (32) ," class (16)",, Wk. (19), CHI, pad , rope (16),,
 5 (6), pretzels (30), wink/flirt (31), paper (10) ," AL (7)",, 10 (35), burger, take eye test (13), coffee (33) , TX (39),
 Chest (25), flowers (9), tennis (20), plane (34) ," home (36)",, Dimples (4), cards (21), football (4), helicopter , car,
 Tonsils (25), birds (28), 40 (3), potatoes (4) ," fireman (13)",, Temp. (19), 50, breadcrumbs (13) , police (36),,
 Michelle Obama (19), Miami (18), marriage/relationship (4), 40 (5) ," sour cream (48)",, Janet Jackson, NY, test/quiz, 50 (32) , cheese (4),
 Spades, 21 (13), wash dishes (16), pen(cil)s (10) ," martini (11)",, Poker (15), 30 (20), drive, paper (32) , coffee (39),
 Jesus (5), twice (23), foot (16), black (34) ," piano (39)",, Tin Man, three (16), basket (21) , red (44),,
 Three (10), swimming (28), mop (33) ," cook marshmallows (34)",,, Baseball (29), 18, play football (2), broom (32) , tell stories (27),
 Dishrag (6), 21 (7), reunions (3), alligator (10) ," Fri. (48)",, Sink/faucet (27), 25 (4), tragedies (16), turtle (34) , Sat. (44)- TOUGH WAY TO GO,
 Yawn (19), grocery store (23), stuffed animal (8), 7 (26) ," feed (37)",, Brush teeth (14), restaurant (19), sleeping cap, 8 (36) , wash,
 Mom (21), spider (21), CO² ," 14 (18)",,, Grandma, earwig (5), fire extinguisher (29), 15 (29) , cologne (5),
 Make the bed (7), 0, bottle (31), white (30) ," athlete",, Whiz/dump (2), 7 (2), glass (32), yellow (39) , fisherman,
 Stone (41), five lbs. (20), bedroom (35) ," her number (13)",,, Love, four lbs. (10), living rm. (13), dance , C (11),
 Blow dryer (23), bat (20), hockey (23), 7 (8) ," kiss (11)",, Night-light (13), snake (22), football (16), 10 (31) , toast (16),
 5 (8), JELL-O (2), insemination (14), jacket (30) ," Jul. (48)",, 10 (23), apple (26), food coloring (6), hat (9) , Aug. (43),
 15 (3), merry-go-rd. (19), blow-dry hair (16) ," milk (46)",,, 20 (14), tricycle (19), diet (15), makeup (3) , coffee (22),
 Reader's Digest (24), elephant (17), bacon (29), sporting event (27) ," 10 (44)",, People (11), tiger (5), lettuce (8), concert (29) , 9 (18),
 10 (9), aliens (8), keyboard (14), triangle (29) ," Lincoln (40)",, 7 (4), stars/Sun (31), monitor (22), circle (20) , Washington (36),
 Family, five (3), cellphone (15), apple (31) ," eating dinner (16)",, Home (18), two (25), dishes/plates (28), pineapple (2) , going out,
 5 (20), macy's (18), mushrooms (13), listen to music (32) ," tennis (17)",, 7, JCPenney (25), zucchini (9), sweat (14) , baseball (18),
 Mosquito (11), $100 (25), apple (15), hat (13) ," read (47)",, Raccoon (8), $1K (3), milk (6), costume (11) , lift weights (12),
 Toilet (28), closet (23), 10 (20), wallpaper ," punching bags (40)",, T.P. (17), purse (9), 5 (8), makeup (9) , walls (19),
 College (17), five (12), too noisy (8), blood (7) ," teeth (38)",, Home (5), eight (27), lines (36), cape (19) , hair (48),
 Hanger, running (8), 2 (5), chicken (20) ," her birthday (24)",, Pen(cil)(33), jumping jacks (16), 6 (8), fries (36) , Valentine's Day (29),
 Muscles (29), Poodle, clothing (22), 20 min. (4) ," witches (6)",, Jewelry, pooch (18), toothbrushes (12), hr. (34) , pumpkins (40),
 Once (38), tantrums (5), horses (34), chicken (23) ," dishes (37)",, NONE (25), pacifier (2), bulls (32), potato salad , car (27),
 Seven (2), astronaut (15), eggs (22), toilets (4) ," corn (38)",, Three (7), cowboy, nuts (21), bookshelves (2) , oranges (8),
 10, fruit (26), the Monument (10), candy (16) ," faults ",, 6 (14), children (17), The White House (11), lip balm , lies (10),
 6 (3), eat (29), Wednesday (15), Memorial Day ," hairy (43)",, 7 (9), drink (3), Tuesday (41), New Yr.'s Eve (29) , NO muscles,
 6 (15), toast (16), jewel, tree ," wedding ring (5)",, 10 (3), grapes, emerald (15), trouble (30) , TVs (36),
 Heart (37), hr. (25), Fall (19), coffee (45) ," sting (24)",, Eyes (29), half-hr. (11), Summer (35), tea , buzz,
 Get naked (2), alcohol (13), five (19), dog (10) ," ambulance driver (3)",, Call repairman (14), going to sleep, three (24), lion (2) , bus driver (38),
 Sex (25), beater (5), video game (3), smoothies (36) ," 30 (8)",, Stealing (18), nog (12), car (19), Frappe (5) , 31,
 Fasten seatbelts (22), blankets (13), instruments (31) ," 6PM (36)",,, Hold their breath (3), wedding rings (15), lyric (5), waiting rm. (27) , 8PM (4),
 Five (26), bus driver (11), olive (7), cars (30) ," theater (30)",, Three (4), octopus (3), coins (4) , restaurant,,
 Slot machines (29), eat (21), Dec. (23), Iran (12) ," $1M (37)",, Blackjack tables, brush teeth (20), Feb. (15), Afghanistan (6) , $2M (17),
 Balls (36), Sat. (24), massages (12), baseball (48) ," two (41)",, Car, Mon. (20), rest (7), badminton , one-half,
 2 (4), march (20), dog (9), snooze (30) ," biscuits",, 5 (24), halt (26), snake (23), siesta (9) , doughnuts (13),
 Somebody's feet (24), 8 (29), radio (14), rattle (39) ," dad (5)",, Handbag (4), 7 (10), seats (29), cobra (28) , mom (24),
 100yds, France (5), drums (31), snow day (11) ," seatbelt (37)",, 50yds (17), Japan (2), clarinet (6), suspended , alarm (4),
 Chicken (7), car, RAVE, 30 (36) ," car",, Eggs (34), windows (25), Forever 21 (8), 40 (6) , clothes (18),
 Broccoli (9), dance (19), cockroach, washing machine ," eight (6)",, Carrot (15), sex (28), mosquito, toaster (9) , 10 (16),
 Fan (41), gum (20), neck (31), bubbles ," 9PM (44)",, Lights (15), candy (12), chest (13), candles (38) , 10PM,
 Drinks (23), gravel, 5 (26), truck (12) ," jewelry (38)",, Ice, cherry (14), 6 (5), motorcycle (33) , nails (3),
 Alligator (2), shoulders (3), mashed potatoes (22) ," wk. (17)",,, Gorilla (10), nose (10), marshmallows (24), two wks. (29) , climb trees (22),
 8 (16), water filter (10), teacher (25), tilapia (5) ," cats (39)",, 9 (12), oil pan/car (27), construction (5), salmon (31) , clothing (2),
 Four days (8), cars (29), oatmeal (24), staggering (18) ," trunk",, Three days (26), homes, microwave food, NOT feeling well (3) , closets (37),
 10 (4), shoot (26), leaves (15), lend $ (33) ," Valentine's Day (46)",, Twice (19), loot (24), traffic light (6) , help move (8),,
 $50 (22), super (24) ," watch TV (35)",,,, $20 (2), coffee pot (11) , play (19),,,
 5 (4), scratching (2), Ethiopia (11), pilot (6) ," “Superman” (54)",, 6 (12), digging (3), France (16), security (13) , “BATMAN” (16),
 Ears (30), TX (18), cheese (40), doors ," wedding (38)",, Armpits (3), NY, butter, children (5) , church,
 Two (30), lipstick (7), Kermit (38), milk (37) ," cold (51)",, Three (24), earrings (3), Ms. Piggy (40), coffee , measles ,
 Wife (17), under the arms (5), Mexico (7), coffee (17) ," wk. (42)",, Grandma, calf, France (10), tamales (28) , 10 days (7),
 Fertilizer (3), 8 (9), shirt (14), gas (10) ," shower (11)",, Shovel (13), 7 (10), jeans (28), food (16) , kitchen,
 8 (12), apple (9), makeup (13), bunny (44) ," Christmas (51) ",, 5 (22), steak (20), clothes (6), kangaroo (27) , Thanksgiving,
 Bath (19), ham, $1K (23), kick (15) ," lighter (17)",, Living (12), extra cheese (21), $2K (10), throw (33) , fire (12),
 10 (17), soccer (24), diapers (27), baked Ziti (5) ," pumpkins (40)",, 9 (5), football (20), Alfredo , lights (3),,
 30 (8), play (29), cats (37), tuba (43) ," wedding (47)",, 20 (12), eat (13), squirrels, trumpet (23) , baptism,
 Firefighter (9), fridge (14), 40 (23), catch (3) ," crying (2)",, Dr. (4), couch, 20, tag (33) , nail-biting (12),
 7 (12), shirts (2), pelican (6), math (36) ," shower (38)",, 10, chips (18), Mynah, English (15) , take out garbage,
 9 (14), head, warden (9), play video games (2) ," chimp/monkey/ape (38)",, 6 (23), crap, correction officer/guard (33), sleep (15) , pig (3),
 Pastor (3), bags (9), 18 (2), pause (11) ," football (37)",, Spouse (13), “What's up?”, 40 (10), record (31) , weightlifting (7),
 Two days, rude (37), kitchen (31), football (37) ," bouncer (27)",, Wk. (24), dude (36), bedroom (22), baseball , bartender,
 Fridge (15), three (25), talk/socialize (27), car (7) ," Budweiser (39)",, TVs (14), five (18), dance (12) , desk (10),,
 Sunflower (22), football (22), 35 (14) ," poker (9)",,, Honey, daffodil (16), basketball (25), 30 (19) , tease (38),
 Five (15), coffee (11), Super 8 (4), boss (21) ," egg salad (14) ",, 10 (13), pad (21), Holiday Inn (22), spouse/mate (30) , tuna (42),
 Measuring tape (22), 65% (4), shingle, TVs (13) ," line (19)",, Needles (23), 50% (29), tickle (27), (news)paper (32) , life (5),
 Two (15), orange (8), funeral/death (25) ," football (7)",,, 10, blue (14), loss of pet, tostadas (23) , golf (37),
 Airplane (5), 5 (12), chunk (21), gaff/fishing pole (34) ," lion (4)",, Theater (36), 4 (6), dunk (7), shower curtain , dog (43),
 13 (23), Jun. (18), Christmas ," shoes (38)",,, $ (6), 12 (16), Jul. (12), wedding (33) , pants (8),
 3 (12), bottles, green beans (11), lawnmower (32) ," Diane Sawyer (4)",, 1 (21), sleep (4), peaches (6), tools (26) , Jay Leno (12),
 13 (21), bread (7), TV (22), boss (35) ," piano (38)",, 16 (3), gas, drive (4), mom-in-law (3) , violin (13),
 20 min. (17), feed (4), comedians (3) ," trail mix",,, Half-hr. (26), catch (23), horn (9), gynecologist (16) , cereal (43),
 10 (4), breakfast (11), nada (30), water (10) ," breasts (12)",, 7 (23), coffee (20), zero (15), aspirin (15) , lips (48),
 Eyes (19), 9, Cheetos, Brown (31) ," Cosmopolitan (2)",, Mammogram (10), 10 (8), chips (29), blue (3) , “Sex on the Beach”,
 Balls (30), 3 (2), Rice-a-Roni (26), Jan. (35) ," perfume",, Towel (15), 6 (8), pork fried, Feb. (25) , flowers (42),
 Hose (11), five (20), parking meters (15), jump (11) ," jewelry (36)",, Sprinklers (6), six (13- four , five tied for the top), vending machines (14), hump (15) , wills (18)
 Ham/cheese (3), Fri. (28), library (6), 8 (32) ," hat (12)",, Tuna (26), Sat. (4), bedroom, 10 (17) , rope (17),
 8 (30), apple (4), physician (15), their partners ," waist (15)",, 9 (8), strawberry (11), lawyer (5), golf clubs (12) , hair (48),
 Pie (4), eight (12), fox ," bras (36)",,, Spaghetti/pasta (28), 10 (6), snake (4) , pantyhose (3),,
 Convertible, walls, golf (16), asparagus (5) ," dog (42)",, Ford Mustang, tables (12), vacation (4), squash (3) , cat (10),
 Golf (39), lose weight (31), mortgage (30), 6AM (38) ," weather (38)",, Bowling, eat, college loans (12), 7AM (34) , cold,
 Phone (6), 75% (8), AL (16), balls (19) ," bread (8)",, Keys (11), 50% (21), AK (12), gloves , biscuits,
 Nose (10), hump (23), 12 (15), friend (30) ," magazines (12)",, Stomach (16), lump (12), six (2), sister (14) , cigar(ette)s (15),
 10 (26), dog (27), jewelry (8), kid's recital (2) ," hair (42)",, Nine (6), lion (6), candles (6), movies (29) , breath (44),
 Underarms (39), park (3), oven (19), 17 (6) ," dogs (43)",, Legs (28), church (3), sofa (10), 16 (4) , bunny,
 Five (13), doors (16), hot dogs (27), breathe (32) ," Burger King (47)",, 20 (10), shades, pizza (26), comb hair , McDonald's (45),
 5 (24), men's tore (4), football (19), pizza (8) ," pot",, 7 (7), movies (6), I.C. (47) , eggs (40),,
 9 (14), cereal (5), blow, movies (24) ," linen",, 5 (10), pizza (29), bull (2), church (38) , cotton (44) ,
 Five (6), food (3), beds (37), teeth (40) ," soda (25) ",, Two (28), $, toilet , liquor (49),,
 Wife (38), 5 (16), NO food (22), spoons ," graves (48)",, Car (36), 9 (10), BAD news, lollipops/suckers (37) , hide something,
 8 (10), green beans (3), lion (3), NY (16) ," lice",, 5 (9), broccoli (16), raccoon (17), FL (33) , lips (18),
 Makeup (26), pizza (8), dad (3), 101° (13) ," sleep (43)",, Wig (26), toast (11), banker, 103° (15) , snore,
 80% (8), crotch (26), hair (14), collard greens (10) ," bear (17) ",, 20% (2), back (27), bread (8) , fried chicken (39),,
 Water (36), Doberman (12), Orlando (22), 4 ," Thanksgiving (43)",, Coke (30), Pitbull (36), Gainesville, 9 (19) , Christmas,
 10 (13), pants (39), wedding (8), (electric) knife (45) ," Superman (37)",, 9 (11), bra (34), funeral (38), saw , BATMAN,
 78 (8), stroller/carriage (24), phone (22) ," Feb. (9)",,, 74 (2), wheelbarrow (3), spouse/mate (3), STOP sign (12) , Mar.,
 45, blanket, MI (15), car (20) ," scissors (48)",, 39, tattoos (8), MD (8), home (39) , hot water,
 Two (4), ant (18), lips (32) ," getting ready for bed (32)",,, Five (32), bread (2), bee (8), tongue (30) , partying (3),
 Three (29), kangaroo (38), hair (2), kiss (32) ," beach (50)",, Five (12), dog (27), stomach (23), hug , pool ,
 Two wks. (10), panda (11), paper (4), undies (31) ," lights (43)",, Day (10), lion, cards (11), socks (8) , iron (9),
 30, Cathy (26), beer (10), embarrassed ," hot dogs",, 55 (9), Charlene, cue sticks (32), swimming (3) , watermelon (41),
 White (34), shirt (26), pet (39), shirt (13) ," mosquito (7)",, Black (24), jewelry/watch (33), children (30), (pin) cushions/pillows , bee ,
 Wk. (27), alligator (11), husband (15), People (31) ," wedding (47)",, NEVER, pig (3), engagement ring (18), Cosmopolitan , graduation (36),
 $5 (6), the movies (8), take (22), cheesecake (16) ," baseball (11)",, $1 (21- tied w/ $10), beach (15), thief (4), I.C. (7) , football (36),
 $20 (16), bug, NYC (17), white (32) ," soda (15)",, $25 (14), floats (3), BOS, black (2) , water (4),
 8 (9), bra (19), drinking (4), toast ," work (37)",, 5 (14), undies (24), screaming, eggs (24) , school,
 Bark (31), track (36), 13 (23), legs/thighs/butt (38) ," chocolate cake (37)",, Wag tail (30), football (37), 14, stomach , apple pie,
 6 (12), cancer (13), parakeet (29), ceiling (12) ," NY (39)",, 5 (22), friends (20), crow (10), floor (7) , Vegas,
 Shirts, Mon. (26), give shots (27), 18 ," tie (knots)(36)",, Cars (16), Tues. (11), change bedpan (shots tied for the top w/ take blood pressure), 10 (31) , hang something (7),
 Teddy (3), mind, butt, bones ," cheesecake (27)",, Bra (27), direction (27), feet (24), couch , I.C. (35),
 Have sex (28), rocks (6), vacuum (8), Kool-Aid ," elevator (40)",, Eat apples (17), dirt (12), TVs (22), lemonade (27) , balls (4),
 Makeup (34), 10yrs (6), leg ," girlfriend (43)",,, Clothes (16), 5yrs (24), helicopter (37), chest , friend (7),
 20 (2), arms (20), Christmas (5), bite (30) ," jugs (9)",, 25 (16), legs (30), Easter (6), clip (16) , thugs (6),
 Three (3), strawberry, elephant (20), waiter (29) ," Fri. (52)",, Five (7), orange (15), human (24), busboy , Sat. (16),
 50 (21), trumpet (28), Orange, shirt (15) ," butt",, 40 (33), trombone (20), Oklahoma City (23), undies (37) , bozoms (2),
 17 (3), refrigerator, banjo (30), CA (34) ," beer (30)",, 18 (33), car (23), guitar (36), NY (23) , tequila,
 Have dinner (18), moles (21), strollers (5), turkey (19) ," half-hr. (40)",, Church (23), scars, diapers (29), chicken (4) , hr. (17),
 5 (20), rats/mice (19), flutter, chest (3) ," parents",, 3 (17), clothing (16), utter, ankle (14) , spouse/mate (49),
 looks (25), breasts (5), France (3), dog (17) ," ties (42)",, money (25- body was the remaining top answer for that Q), buns, Italy, lizard (10) , undies (10),
 10 (9), attention, bottles (27), Cheerios (33) ," plumber (10)",, 8 (11), $ (8), pools (11), Frosted Flakes (19) , gynecologist (VB),
 4 (10), airport (15), bear (11), spouse/mate (44) ," engine (45)",, 6 (24), hotel, dog (7), parents (11) , horn (13),
 8 (33), t-shirt (16), line (24), Sloppy Joe (19) ," toothpaste",, 7 (7), undies/panties (24), time, spaghetti (28) , makeup (48)- PL,
 $5 (10), popcorn (27), dance (26), mom (33) ," stripper (17)",, $15 (4), hot dogs (20), dress, grandparents , dealer (41),
 Christmas (2), 25 (19), pork (26), trumpet (40) ," urinate (18)",, Apr. Fool's Day (10), 21 (11), snork, flute (20) , clean (47),
 50 (30), beg (6), soda, jump rope (31) ," toilet (54)",, 40 (34), fetch (19), iced tea (14), tag (4) , wall,
 Car (2), 7 (10), hands (9), $ (21) ," coughing (41)",, Ring (2), 9 (30), nerves (6), milk/food (37) , sneezing (21),
 Breasts, 9 (10), girdle (8), read (9) ," curtains (42)",, Butt (22), 7 (7), bra (8), sleep (33) , undies (3) ,
 Bed (34), 8 (25), church (39), slot machines (36) ," football (14)",, Shoes (20), 7 (22), karaoke (17), blackjack , soccer,
 Break window (13), death (5), lifeguard (29), wine/alcohol (33) ," half-hr. (35)",, Through window (2), movie (26), restaurant, water (21) , hr. (21),
 Five (21), beer (26), receptionist, squawk (37) ," paperclip (48)",, Six (10), water (2), comedian/comedienne (9), lay eggs (38) , tie,
 PLAYBOY (39), 60 yrs., cat, swim (36) ," epsom salt (48)",, Hustler (12), five yrs. (27), elephant (31), skinny-dip , rubs (30),
 Playing tennis (6), Christmas toys (6), 5 (8), popcorn (35) ," shoes (50)",, Swimming (8), sex toys (4), 6 (22), “Pop Goes the Weasel” , newspapers,
 JetBlue (4), read (14), four (16), cat ," TV (36)",, American (17), wipe tears away (9) , five (19),,,
 6 (9), church (24), strawberries (20), chest/lungs (31) ," NE (36)",, 7 (11), event (church tied for #1 w/ Dr.'s office), oranges (4), back (6) , NV (24),
 Girlfriend (23), wedding/marriage (26), day (30), pansy ," Cheddar (37)",, Salesclerk (5), birth (2), 15 min., sandy (34) , American (8) ,
 TV dinner, sheets (29), bring flowers (22), 10 (37) ," ladders (39)",, Chicken (4), comforter (16), pay for dinner (29), 9 (11) , stairs (18),
 Three hrs. (9) ," allergies (20)",,,,, 15 min., crying (12), duck (8), boxing , NYC (40),
 Five (3), vacuuming (6), pepper (8), Julia Roberts (17) ," car (37)",, Ten (2), laundry (6), cheese (24), Angelina Jolie (30) , motorcycle,
 Stomach (33), one day (17), shoot something (2), baby (33) ," spiders (18)",, Legs (7), two wks., take a drink/go to saloon (24), laptop (11) , heights (37)  ,
 9 (11), Christmas (27), Royal (11), back (33) ," keys (9)",, 8 (14), birthday (26), Navy (22), stomach (3) , car (9),
 Surgeon/physician (21), famous, eraser (37) ," strep throat (2)",,, Dentist, alive (24), Roseanne (2), chalk (9) , mumps,
 He has a ring (27), 21, needle (12), lies (2) ," toast (3)",, Children (6), 40 (23), fillings (10), work (18) , eggs (46),
 Anniv. (36), 8 (11), stomach (26), afraid (27) ," football (4)",, Birthday (39), 6 (11), chin (9), frightened (45) , hockey,
 Dr. (14), glue (29), school (11), 9 (2) ," martini (43)",, Lawyer/judge (29), P.B., church (11), 10 (34) , bourbon (2),
 Laundry (9), 8 (24), walk (5), plane (31) ," vanilla (18)",, Sex, 6 (3), fire (8), bee (22) , strawberry (24),
 Making love (21), furnace filter (4), 7 (16), falcon (3) ," Army (16)",, Brush teeth (17), oil (8), 6 (6) , humming,,
 Eating (37), 35 (6), tacos ," stomach (40)",,, Sleeping (8), 40 (18), party time (5), bacon (5) , chest (17),
 Car keys, 18 (5), rollerblades (22), meat (35) ," teeth (43)",, Kids, 35 (12), hair (20), cheese (19) , police record,
 Coins, roach (15), 10 (20), drinking (6) ," sharks (51)",, Fingers/toes (31), spider (10), 5 (15), reading (34) , waves (20),
 Five (10), architect (27), breasts (28), termites (3) ," potatoes (23)",, Three (37), construction worker (18), legs (4), mice/rats (12) , Cool Whip/cream (48),
 40 (25), apple (24), Queen Elizabeth (25), car (16) ," football (19)",, 50 (3), watermelon (16), Prince Edward (2), coffeepot (7) , basketball,
 Fart (32), puppy (19), remote (22), 30 (36) ," eyes (21)",, Snore (38), breed, phone (9), 40 (6) , hands (35),
 Butt (22), 7 (13) ," Viagra (20)",,,, Chest (12), 5 (21), hair growth, make help sign (15) , wheat (37),
 Daycare (19), shark (16), boobs (18), 8 (10) ," Godiva (3)",, Park (8), dolphin (14), arms, 10 (3) , GaGa (38),
 3 (17), shirts (12), take tests (2), broccoli (8) ," heart (15)",, 7 (6), socks (30), marry (31), carrot (30) , kidneys (52),
 60 (3), chin, church (18), ears (32) ," Mon. (32)",, 35, lamps (10), park (4), walls/outlets/sockets (38) , Tues. (7),
