CommentID,PostID,CommentOrder,Author,Comment
77,62,2,Matthew Yothers ,"Amazing! She duplicated the answer for every single question, because Jaleel had all number ones."
78,62,3,jpgenius ,That’s a first.
79,68,1,Matthew Yothers ,"Wow, in the Thornton family, Olden looks almost exactly like Steve."
80,69,1,Matthew Yothers ,"Wow, bad 2nd attempt by the Thorntons, they got a record breaking 6 zeros in this Fast Money, but hey, they still get to come back with $20,475 in their pocket."
81,74,1,Rohan Johnson ,"First off, I am very sad to see the Holmeses go, but MAN! the Hubers were so close to get a $20k! 😢"
82,75,1,jpgenius ,"Can’t the Feud just say “make love” rather than “pet the peacock” or “get kinky with dinky”?! My goodness, this show has gotten so foul… 🙄😳"
83,76,1,jpgenius ,How did take the kids NOT make the board? Ex-wives (and husbands) do it all the time!
84,78,1,Rohan Johnson ,"Darn! I just wanted the Porter family to play for a new car, but it didn’t work because the Burneskes won the game!"
85,79,1,jpgenius ,The Childs gals are KILLIN’ IT! One more win and they’ll do what the Gray gals did 5.5 years ago – an all-female team winning the car!
86,79,2,Matthew Yothers ,"Congrats on finally winning $20,000, Childs family!"
87,80,1,jpgenius ,WHERE are the Childs gals?!?! I wanna see whether they won that car!
88,80,2,jpgenius ,Her THREE teeth?!?!
89,83,1,jpgenius ,"Aw, no doubleheader. 🙁 But we’ve had a lot of 3-day champs so far this season: the Joneses, the Porters, and now the Hutchisons."
90,84,1,jpgenius ,"Doggone it. We wait for a car game and now this? RATS. Well, it’s no big deal – at least the Childs gals won over $22,000. There’s always next time…"
91,85,1,"Nigerian Family, the Obus, Surprise Host Steve Harvey on Family Feud - NigerianMuse | NigerianMuse ","[…] put on a show, before the main show, which appears to have aired on October 11, 2016 (recap). However, their appearance seems to have only recently surfaced online via OkayAfrica’s […]"
92,85,2,This Hilarious Nigerian Family On 'Family Feud' Lost The Game But Won The Internet - TwentyTwoPhotos ,"[…] the episode first aired on October 11, 2016, their appearance on the show recently surfaced online via the Family Feud’s YouTube account – […]"
93,85,3,jpgenius ,How did no one get The Walking Dead?
94,85,4,jpgenius ,GO KAI!!!
95,86,1,Dalton Higbee ,Jeopardy! recap should be coming in a few minutes.
96,87,1,jpgenius ,Add the Trimbles to the list of 3-day champs in season 34. Seems like we won’t be getting that many 🚗 wins this season.
97,87,2,jpgenius ,"Excuse me, season 17. I was thinking about Wheel of Fortune!!! 😂😂😂"
98,87,3,jpgenius ,"Kai and Theatrice actually appeared on an O’Hurley episode, as part of the Dotson family. How did they do? Check it out: https://www.youtube.com/watch?v=2I72zs0EQzc."
99,89,1,jpgenius ,Cinnamon ring?! 😳😳😳
100,92,1,jpgenius ,Come on Roberts fam…give us a 🚗 win tonight…
101,93,1,jpgenius ,"MAN! I didn’t think the Roberts family would win the car tonight, the Washington family were just too good. 😥😥😥 We’ll get em next time."
102,93,2,jpgenius ,The Almost Christmas special though…TOO 😂😂😂!!! Glad to see a win.
103,94,1,jpgenius ,"POTENTIAL SPOILER: The Abraham family won the nightcap and $20,000."
104,94,2,DAFEWD00 ,"Wow, was this funny! Blow out a fire with your lips? Pick up kids from school naked?"
105,94,3,DAFEWD00 ,Dang!
106,95,1,jpgenius ,Haven’t seen a family from the Aloha State win the Feud before.
107,96,1,jpgenius ,I think we knew Eric would say THAT answer (pass…). You should’ve seen Amber’s grin.
108,98,1,jpgenius ,"One more win Schaefers, one more win…and the 🚗 is yours!"
109,98,2,Nick Brundidge ,What does a horse have to do with being a thing of beauty?
110,98,3,Rohan Johnson ,This is extremely painful to watch 😢.
111,99,1,jpgenius ,WOO HOO!!! First car win of the season! Go Schaefers!!!
112,99,2,Rohan Johnson ,"Yup, and I’m glad to see the Turners win $20K. 😁😁😁"
113,100,1,jpgenius ,The Turners are KILLIN’ IT! I wouldn’t be surprised if they won Fast Money tomorrow.
114,101,1,jpgenius ,"One more Turners, one more…and the 🚗 is yours!"
115,102,1,jpgenius ,"GO TURNERS!!! I KNEW they’d win the 🚗! And like the Schaefers, it took going from zero to Sudden Death to do it!"
116,102,2,Veronique ,"Most people in my area don’t know that fast hair growth shampoos (of course with no sulfates, no parabens and no DEA) are even a thing. We all are now able to experience longer hair and possess more options. Definitely worth exploring."
117,104,1,jpgenius ,“You’re dumb/so’s your h-”?! 😳🤦🏾‍♂️😡
118,105,1,jpgenius ,"One more win, Janes family! One more! And you win the 🚗."
119,106,1,jpgenius ,"Great job winning the 🚗 AND another $20,000, Janes family!"
120,107,1,jpgenius ,GO MORROWS!!!
121,108,1,jpgenius ,Nana? And “trust in your truth”? These answers got me confused! 😳😳😳
122,110,1,Matthew Yothers ,"In the first game, they actually kept Jenna in the first position in Fast Money."
123,111,1,Rohan Johnson ,"Well, I’m sad to see the Federgreens go, but $21,580 is nothing to sneeze at."
124,112,1,jpgenius ,"Buh bye Blacks. Still, $40,705 isn’t bad for 3 days."
125,114,1,jpgenius ,The first question of the Cosios’ game is even more interesting given there’s two exes in that family.
126,116,1,jpgenius ,A free pass to do HUH?
127,116,2,jpgenius ,How did Florida get 0? Go to Miami Beach and you’ll see what I’m talking about.
128,117,1,jpgenius ,"Can’t wait to see the Cosios go for the ride on Monday. Porters, PLEASE win tomorrow so we can have a doubleheader. And stop going to Sudden Death!"
129,118,1,jpgenius ,Well this is intense – the Porters AND Cosios are going for the 🚗 on Monday. Best of luck to them!
130,118,2,jpgenius ,"Also, Miss Universe bloopers?! 😂😂😂"
131,119,1,ant0824 ,Both fast money rounds stunk badly.
132,119,2,jpgenius ,Mixed emotions for this doubleheader.
133,119,3,ant0824 ,"That got me a Rating of a 1 from Game 1 Worst ever fast Money score ever.
Rating of an 8 from Game 2 with the Cosios winning a Car but not the Fast Money."
134,119,4,jpgenius ,WHOA there – a WET dog?! Isn’t that a derogatory term? Shame on those writers! 😡😡😡
135,119,5,Rohan Johnson ,"Aw, man! The Porter family did not win the car."
136,119,6,Rohan Johnson ,Drats! I just wanted the Porter family to win that car!
137,121,1,jpgenius ,Finally! The Stapletons win the big bucks!
138,122,1,jpgenius ,"I really enjoyed the Washingtons, but…I think it’s time for another fun family to dominate."
139,122,2,jpgenius ,Scratch car.
140,123,1,jpgenius ,YES! The Stapletons have WON THE 🚗!
141,123,2,jpgenius ,"Also, it’s “well”, not “whale”."
142,123,3,Matthew Yothers ,"Amazing comeback from the Stapletons to win $22,920 and a car!"
143,123,4,Matthew Yothers ,"And also, for the question something that eats anything, I heard Steve say the #1 answer was “goat”, not “gopher”."
144,124,1,Matthew Yothers ,"Michael and Patrick got to keep their outfits for the show! I’m so glad the Broz family won the $20,000."
145,124,2,jpgenius ,Glad the Smahas got another chance and made the most of it.
146,125,1,jpgenius ,"First the Smahas, now the Fords. What are the odds of 2 families given a 2nd chance being on the same episode?"
147,126,1,jpgenius ,"First, the Smahas, then the Fords, now the Baileys. What’s with all these designated champs coming back?"
148,127,1,jpgenius ,Into HUH or WHAT?!?! 😳😳😳
149,129,1,jpgenius ,OH MY…
150,129,2,jpgenius ,And Kim’s last answer was also hilarious.
151,129,3,Matthew Yothers ,"For the second group game, Nick from the Cannon family is not the famous one."
152,130,1,jpgenius ,"I LOVED tonight’s episodes, especially Ms. Carol!"
153,131,1,jpgenius ,WOW – didn’t expect Asha’s answer in Sudden Death. 😳😳😳
154,132,1,jpgenius ,Very unusual for 2 families to miss Fast Money by 8 points on the same episode.
155,133,1,jpgenius ,GO CANNONS!!! Driving home to San Fran in a brand-new 🚗!
156,134,1,Tom Hanson ,"Regarding #1 Question.  The judges messed up on the Family Feud show that aired 2-13-17.  The contestant from the family on the left answered “floaties”, and got a third X.  The opposite family answered correctly, and when the board was revealed, the answer Raft/Float was on the board.  How did they not interpret “Floaties” to be a correct answer by the family on the left?  That family was denied the game!  How do the producers make this up to the family that was short-changed?"
157,134,2,Your Mom ,“Floaties” are the things children wear on their arms to stay afloat; it is not the same as a raft/float.  The producers properly interpreted what was said and do not owe the family anything.
158,134,3,jpgenius ,He was tired of eating Big Macs. 😂😂😂
159,138,1,jpgenius ,"Poor Susinis. As soon as I saw the Shaffers with their pom-poms, I figured they would win instead. Rats. But still, $22,360 isn’t bad for 4 days."
160,138,2,Rohan Johnson ,"Yeah, and I’m even bummed to see the Shaffers miss by 11 points in Fast Money. 😢"
161,140,1,Charles Shen ,Is the winning team the 5 time Champion one?
162,140,2,jpgenius ,Yep. The Stowers family.
163,140,3,jpgenius ,"WOW – the Stones AND Stowerses made the most of their second chances, ESPECIALLY the Stowerses! That’s the first time in Feud history that a 6th appearance results in a 🚗 win! WTG Stowers family!"
164,140,4,Matthew Yothers ,"Yes, and the Stowers family was one of the CRAZIEST families that Steve has ever met, especially when they left with the car and $42,125 in the trunk. Steve certainly had a blast with them, too."
165,140,5,futuresamthegameshow ,Rating: 9
166,144,1,jpgenius ,Looks like you’re pulling up all the old episodes. How did you get the 11/22/12 episode?
167,144,2,jpgenius ,"Excuse me, you can’t say THAT (the answer in question 2) on TV."
168,145,1,jpgenius ,"The answer that probably brought the Finchs back the next season was “wife has a baby”, which is basically the same as “hospital”."
169,146,1,jpgenius ,I thought the biggest state’s AK.
170,146,2,FEWDLUVR33 ,"I know right? Also, when they asked how many states start with new, they said the #1 answer is 3, but it’s 4! These kind’s of questions can’t be in FM, because they only have 1 right answer!"
171,147,1,jpgenius ,I think the unrevealed #1 answer (for Hawaii) was surf.
172,147,2,Matthew Yothers ,"Surf WAS the #1 answer for that one, and Jim really struggled in that Fast Money, but still at least it wasn’t 5 zeros."
173,149,1,jpgenius ,"Mike, you can’t say that on TV."
174,151,1,jpgenius ,Poor Mastrinos.
175,151,2,jpgenius ,"By the way, the 2/22/2013 nightcap was actually the last nightcap of the season."
176,151,3,Rohan Johnson ,Man! The Mastrinos did not win the 🚗 so I had to make a Berens Amusement Park on RCT3 for the them!
177,153,1,jpgenius ,Go Flammias! 🚗
178,153,2,Matthew Yothers ,"Wow, just 2 games aired already in Group 1, and the Flammia family is driving out in a brand new car loaded with $23,210. Well done, Flammias."
179,154,1,jpgenius ,I think they should invite the Trans back – “has a boyfriend” and “married” sound VERY similar. But nice retro Feud recaps Bobby.
180,155,1,jpgenius ,"Yipes. Most of Jim’s answers were OK, but too bad they only got single digits."
181,156,1,jpgenius ,Placenta. Deyotta was the only family member who thought it made NO sense. 😂😂😂
182,156,2,jpgenius ,"Jim’s FIVE repeat answers: butt (people), roast beef (steak), women (people), animals (cattle), and football players (people). 😂😂😂"
183,157,1,jpgenius ,Eric said THAT answer with NO hesitation.
184,157,2,jpgenius ,And how did you get these recaps Bobby?
185,157,3,jpgenius ,Nice to see the Traceys win the big money!
186,158,1,jpgenius ,"That’s the second day in a row that Derrick said the “toy”. I mean, for realz?"
187,159,1,FFan99 ,"Didn’t the first question get repeated next season? With the same answers too! Unbelieveable! So Family Feud is so unimaginative that they not only steal past questions, but all the answers too?"
188,163,1,jpgenius ,Three passes in Fast Money? Really? Looks like they were ready to go home after winning the 🚗.
189,163,2,FFan99 ,Finally a car win! Is this the first one this season?
190,166,1,jpgenius ,Gynecologist. 😬
191,169,1,jpgenius ,"This is actually the Wagners’ 3rd game and they now have a 3-day total of $21,575. Nice work, Wagners!"
192,170,1,jpgenius ,That SD question could’ve very well been used in FM.
193,170,2,DAFEWD00 ,"Bobby, sorry to correct you, but for the second question, you left out #2, which was “arm/hand” (14)"
194,172,1,jpgenius ,Madea?!?! 😂😂😂
195,174,1,DAFEWD00 ,"Finger in the butt?! Oh, come on writers, that’s just GROSS! 🤢"
196,176,1,Matthew Yothers ,"You didn’t highlight that in green here, but church was the number one answer for that last question."
197,177,1,jpgenius ,It’s a real bummer that the Bummers never really got to play.
198,177,2,Matthew Yothers ,"And also, Mike appeared on The Price is Right in 2008. (Well-known for winning his one-bid with a notorious $69 bid.)"
199,178,1,jpgenius ,"On the previous episode, Meg (team captain) KILLED IT in Fast Money. The other Meg got 54, but the captain rallied and got 149! Great work. 👍🏾👍🏾"
200,178,2,jpgenius ,Why did one of the Hallowells burst out singing “Another One Bites the Dust” after Joy said food? 😂😂😂
201,178,3,DAFEWD00 ,"Is it just me, or was that question about the funeral asked later in season 17/18?"
202,179,1,jpgenius ,Saturday? What? That’s a lie.
203,180,1,jpgenius ,Kelly Vander Meer appeared on the 1/23/15 episode of WoF.
204,180,2,jpgenius ,OH MY…if the doctor checks THAT…that’s a lawsuit.
205,181,1,jpgenius ,"Charlie is actually Lisa Consuegra’s (at the time, unborn) son."
206,181,2,jpgenius ,Her poop? Ew…
207,182,1,FEWDLUVR33 ,Wasn’t that the same Pitts family from last season?
208,182,2,Joey Scafetta ,"Yes, that is right."
209,183,1,FEWDLUVR33 ,The #1 answer for the double point question is actually hump.
210,184,1,jpgenius ,Great work Graces. That 🚗 is well deserved!
211,184,2,Matthew Yothers ,"I agree, and also for that earthquake question, if buildings/house was #1, I think #2 would be the ground."
212,184,3,Charles Shen ,When will the recaps of today’s LMAD and TPIR be available?
213,186,1,jpgenius ,This was the first episode where I saw a single-point loss in Fast Money. Poor Singers.
214,187,1,jpgenius ,"Ah, the start of the Newkirks’ adventure."
215,187,2,jpgenius ,The 2 people who said they want their pilot to be a man were probably women. No disrespect.
216,188,1,jpgenius ,"Another painful loss (by 7 points)? Man, the Singers are having it ROUGH!"
217,189,1,FFan99 ,Wouldn’t shoes count as clothes?
218,190,1,jpgenius ,Amanda could’ve just said “himself” for #1. As for Magen’s answer for #2… 😳
219,192,1,ant0824 ,Why you stop posting LMAD results?
220,192,2,jpgenius ,They’ve used that first question before on O’Hurley’s version. The hosts’ reaction to “yeast infection” are very – and I mean VERY – different.
221,193,1,jpgenius ,Sports magazines? No…the answer is OH so obvious.
222,194,1,DAFEWD00 ,"Hey Bobby, you missed an answer on the first question in G1. To name something a woman doesn’t like to see her man playing with, you missed “TV/remote”, which was tied for #4 (meaning it was 4 points)."
223,195,1,jpgenius ,"That’s how you play the Feud: win 5 games, a 🚗, and $42,000+. Great job Newkirks!"
224,195,2,FEWDLUVR3 ,"I’m sorry, PORCUPINE?!"
225,195,3,FEWDLUVR3 ,And how did no one get you/me for the second question in Game 2?!
226,197,1,jpgenius ,Wait…there were only THREE answers in the triple question? That’s rare.
227,201,1,jpgenius ,Kyler didn’t seem too happy losing Sudden Death. At least he and his family came back and won $160K.
228,201,2,ant0824 ,Which the Tournament that the Hutchinsons won have All perfect wins in Fast Money.
229,205,1,jpgenius ,Nice 🚗 win Stewarts.
230,206,1,FFan99 ,The hell kind of last name is Grzywacz
231,207,1,jpgenius ,Keep the 🚗 wins coming. Go Fowlkes family!
232,207,2,Matthew Yothers ,"This season, the Fowlkes family wins the Ford Fusion right away! But darn, another close loss for $20,000 for them, but hey, $22,440 is very respectable despite losing one game the previous season."
233,210,1,jpgenius ,"I thought the last Kevin would be James, NOT Kline."
234,210,2,jpgenius ,"Also, a shoe is not a body part. 😳"
235,212,1,DAFEWD00 ,How was back a dud?
236,213,1,jpgenius ,"I feel READ bad for the McNultys. First, they lose Fast Money by a point and then lose the 🚗. At least they got $22,510."
237,213,2,jpgenius ,"I meant REAL, not read."
238,214,1,jpgenius ,We’ll see the Gates family next season. (Game Show NewsNet made me think their name was Oates with an O. Major typo by them.)
239,217,1,jpgenius ,"Out of all people, Aladdin? And had Roger said pancakes instead, they might have won Fast Money. Ouch."
240,218,1,jpgenius ,That’s the way to do it. Nice work Venus!
241,219,1,DAFEWD00 ,"Snake? Wow, that was just completely random."
242,219,2,Matthew Yothers ,"I found out in a John O’Hurley game that the #1 answer for splashing cologne was actually the face, and that was worth 32 points."
243,222,1,jpgenius ,"The judges did Christine from the Burns family WRONG. On the kissing question, she said flirt, and then the judges asked her to be more specific…and then more specific than THAT. 😳"
244,224,1,jpgenius ,"Sad the Heinsch family never won $20,000, but happy to see them win a 🚗."
245,225,1,jpgenius ,Nice 🚗-winning comeback Marshalls! (Bobby where do you find videos of these episodes?)
246,226,1,jpgenius ,"Harry from the Three Stooges? Huh? Well, the Willigers got themselves a 🚗!"
247,226,2,jpgenius ,"Harry from the Three Stooges? Huh? Well, the Willingers got themselves a 🚗!"
248,228,1,jpgenius ,WOW. Dress size was OH so close…
249,228,2,Matthew Yothers ,"And for the question “A job at the airport” in this survey, the #1 answer was baggage."
250,229,1,jpgenius ,I think they screwed up on the American food question. But it wouldn’t have affected the outcome anyway.
251,231,1,jpgenius ,How did no one get money for the second question (game 2)?
252,234,1,Matthew Yothers ,"There goes the Brown family with their CRAZY $20,000 victory!"
253,235,1,jpgenius ,Zero. 😳
254,237,1,Matthew Yothers ,"In the O’Neal family’s 1st game, I know that they were up against the Kloster family, but they didn’t win Fast Money, and they only finished with $525, but I’m just wondering, what were the Fast Money questions and surveys for that attempt?"
255,237,2,Matthew Yothers ,"Also, I know that Shay was first and Monique was second in Fast Money, since I watched that episode."
256,237,3,Matthew Yothers ,"Also, since I watched that episode earlier, I know that Shay was first and Monique was second in Fast Money."
257,237,4,Matthew Yothers ,"Sorry about the repeat again, my computer is just having problems about my comments coming in."
258,239,1,jpgenius ,"Passing sure was a good strategy for the Easlers. Not once, but twice."
259,239,2,jpgenius ,They deserved that $20K.
260,240,1,jpgenius ,Anthony was probably thinking Hosea for a man’s name that starts with H. So maybe that was a good answer?
261,242,1,jpgenius ,This episode edited out a clip where Darryl Easler claimed Steve Harvey has a big mouth. 😂😂😂
262,243,1,jpgenius ,Charlene got ZERO? 😳
263,243,2,Matthew Yothers ,And Steve was stunned when he saw that potato was up there on that pot question.
264,244,1,THEFEWD77 ,Didn’t they ask the Donald Trump question two seasons later with the Mastrinos?
265,244,2,DAFEWD00 ,Butt paste? 🤣 🤣 🤣
266,245,1,jpgenius ,How was “line” NOT said first?
267,245,2,jpgenius ,"That “walk the ___” question has been used a LOT. On 2/8/2007, this episode, and the Stapletons’ 🚗-winning game."
268,246,1,jpgenius ,This episode actually aired on 3/3/2011.
269,247,1,jpgenius ,People must have been VERY confused when these episodes were skipped.
270,247,2,jpgenius ,"Also, the Webbs could’ve had Delaney say diary or love letters. Not the “toy”. That’s not family-friendly, FAMILY Feud! 😳"
271,248,1,Matthew Yothers ,I think April actually said cleaning for “What do most men expect most women to be really bad at?”
272,248,2,Matthew Yothers ,"And the Gallaghers have a 3-day total of $21,570."
273,249,1,jpgenius ,"K-Y in a hotel?
Your spouse all over you?
A woman’s [BLEEP] is heaven on earth?!?!?!"
274,249,2,GAYMELUVR ,"YEAH, RYAN!"
275,249,3,jpgenius ,He sure made a great run!
276,250,1,jpgenius ,Nichole’s answer to the double-point question was just downright RANDOM. 😳
277,250,2,jpgenius ,"Klines, you had a great $40K run. And Russell Oller said something that had to be bleeped out after seeing his sister’s score in Fast Money."
278,250,3,FEWDLUVR33 ,"It’s okay, Ollers, it’s your first FM."
279,251,1,jpgenius ,I think Josh said job for the first question.
280,252,1,DAFEWD00 ,FYI #3 in question 1 in game 1 was cry.
281,254,1,jpgenius ,Always nice when a family wins $20K on their fourth day. Now off to the 🚗 game the Hartmans go…
282,257,1,Matthew Yothers ,"Wow, Miranda struggled in Fast Money, despite the impressive start on the 1st question."
283,259,1,Matthew Yothers ,"Darn, the Davises missed out on $20,000 by 3 points. Because of the total after three questions, I thought they were gonna win."
284,263,1,jpgenius ,Oh GOSH. This was before Rocco said gynecologist. 😳 At least they didn’t say flush a fish down the toilet. 😂😂😂
285,264,1,jpgenius ,Wait a minute…Cheetos ARE chips.
286,267,1,jpgenius ,WHOA – your SISTER?!?!
287,268,1,jpgenius ,"Happy that the Finch gals won the 🚗, but sad that they never won Fast Money."
288,269,1,jpgenius ,Thank goodness there were FOUR answers to that last question in game 2 instead of six. We know what would’ve been up there if the latter occurred.
289,270,1,DAFEWD00 ,"In Game 1, you forgot “me” as #2, which was 24 points."
290,270,2,Matthew Yothers ,"And I think for the question “a job people have at a nightclub”, despite the different survey, I found out in a Louie Anderson game that Derrick actually had the #1 answer when he said bartender."
291,272,1,jpgenius ,Biting a dog after it bit you is WAY worse than killing it. Can’t you get rabies from that? 😳😱
292,274,1,jpgenius ,How was it a discrepancy?
293,274,2,jpgenius ,Go Whitterns!
294,276,1,FFan99 ,In what universe is changing the radio station or CD wrong?!
295,276,2,jpgenius ,It could be a distraction.
296,279,1,jpgenius ,Pirates ruining a cruise? Could happen.
297,283,1,jpgenius ,"WHOA. Slippery when wet? Four-way intersection? That’s not the first time “slippery when wet” was an answer (O’Hurley question: A traffic sign that describes your first kiss), but where did “four-way intersection” come from? 😳😱"
298,285,1,jpgenius ,"I feel bad the Hartmans didn’t get a 🚗, but they were fun and won 22 grand."
299,285,2,jpgenius ,Something that shakes when it’s turned on…how is THAT #1?
300,286,1,jpgenius ,Most people have fake arms John? 😳😳😳
301,286,2,GSF100 ,Shouldn’t table count as counter
302,286,3,FEWDLUVR3 ,"How is dog #1?! There are so many animals that swim, and they chose DOG as #1?"
303,286,4,jpgenius ,This question has been used before. Weird top answer.
304,287,1,jpgenius ,GO MEG!!!
305,287,2,Matthew Yothers ,"What a FANTASTIC comeback she made for the Lathrops to win $20,000."
